Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,3.98,1.85,7.85,7.83,4.05,10.12,4.15,2.33,2.66,2.39,0.69,4.34,52.24
1901,2.69,9.20,6.97,1.60,2.03,8.66,7.76,9.54,4.08,3.30,0.27,2.97,59.07
1902,0.27,3.43,4.15,1.70,1.14,8.21,4.85,2.77,10.42,3.30,4.27,7.31,51.82
1903,5.15,5.29,6.68,0.37,5.05,5.71,5.72,8.63,4.12,0.70,0.25,1.49,49.16
1904,11.79,2.83,1.35,1.83,0.88,6.08,7.33,4.29,4.95,2.77,2.63,2.32,49.05
1905,0.94,3.29,2.64,1.54,4.27,8.82,8.30,14.90,5.99,2.95,0.46,5.63,59.73
1906,3.00,1.73,1.57,0.56,6.67,10.55,10.28,4.49,2.29,1.83,0.11,0.35,43.43
1907,0.81,0.87,0.32,3.08,3.91,4.35,6.78,5.55,10.39,2.57,2.38,4.54,45.55
1908,3.28,2.95,0.16,1.66,1.78,8.95,6.28,5.31,9.62,2.38,0.65,0.10,43.12
1909,3.15,1.71,1.88,1.02,1.83,4.28,16.41,4.84,1.48,1.00,0.30,3.77,41.67
1910,1.44,2.04,2.67,1.49,1.46,11.89,6.89,9.32,1.27,6.70,2.79,0.76,48.72
1911,1.84,0.13,1.09,1.23,4.45,2.91,3.45,8.16,5.87,1.50,4.53,3.68,38.84
1912,5.38,2.47,5.99,1.42,3.25,11.63,5.98,7.71,8.72,4.14,1.33,3.02,61.04
1913,2.94,4.83,5.79,0.63,2.67,4.07,9.39,7.93,6.50,2.53,0.29,6.70,54.27
1914,5.29,3.60,3.40,1.28,0.16,4.82,7.02,3.08,7.23,3.03,1.54,5.18,45.63
1915,3.00,2.98,4.39,0.88,2.43,5.02,3.81,5.32,5.34,7.21,2.59,4.88,47.85
1916,0.61,0.22,0.82,1.20,5.15,6.15,8.00,7.12,3.69,2.04,3.95,7.25,46.20
1917,0.98,2.53,1.40,2.34,0.88,2.70,6.73,5.74,6.60,0.55,0.72,1.62,32.79
1918,2.90,0.25,1.98,5.11,2.72,4.61,4.36,10.21,5.46,3.81,3.39,3.46,48.26
1919,2.06,4.50,5.37,1.36,4.67,7.83,6.49,8.12,6.90,3.32,1.46,2.23,54.31
1920,3.19,6.61,1.01,8.24,5.52,5.99,7.00,5.73,11.36,0.34,4.86,3.86,63.71
1921,1.11,1.96,0.41,2.88,8.71,7.23,12.14,5.13,2.99,15.64,2.61,4.88,65.69
1922,3.03,3.45,3.25,2.16,7.59,3.93,5.09,6.25,4.26,7.86,0.17,4.29,51.33
1923,1.05,2.06,1.95,0.89,8.01,12.51,2.30,7.04,1.81,1.94,0.23,1.93,41.72
1924,5.53,3.56,9.97,5.15,0.84,5.66,14.45,3.20,6.50,5.53,0.39,1.18,61.96
1925,5.43,2.30,1.41,0.88,2.46,4.84,8.11,6.06,2.00,3.21,0.97,8.02,45.69
1926,5.59,1.42,4.93,4.51,1.60,8.85,7.03,7.00,5.69,0.88,4.39,1.60,53.49
1927,0.19,5.78,2.33,0.46,0.46,10.53,5.46,5.48,1.02,2.33,1.03,1.82,36.89
1928,1.26,2.73,2.91,8.52,4.50,7.64,9.23,11.91,9.38,1.41,0.22,1.03,60.74
1929,6.33,1.51,4.53,4.24,3.89,7.06,6.24,5.71,8.86,1.31,0.25,4.88,54.81
1930,3.87,3.11,6.49,2.12,4.99,12.03,3.16,3.46,8.64,1.09,1.68,4.90,55.41
1931,4.14,2.72,5.04,2.83,2.85,1.53,10.35,6.82,1.41,0.16,0.49,0.84,39.19
1932,1.41,1.90,5.26,1.61,1.21,10.00,3.89,4.78,3.44,1.15,5.89,0.37,40.91
1933,2.86,2.55,3.74,8.40,3.71,1.62,6.27,7.57,8.21,3.24,0.59,0.56,49.32
1934,0.44,4.65,2.58,6.03,6.52,8.57,6.33,5.01,1.68,5.75,0.52,0.86,48.94
1935,1.74,2.05,0.69,2.72,2.67,5.83,11.18,12.15,11.03,0.40,0.67,1.97,53.10
1936,3.97,7.88,2.78,0.46,3.09,7.21,7.00,5.11,1.08,8.13,0.10,2.63,49.44
1937,3.32,4.60,3.03,5.81,2.68,2.74,4.72,13.92,4.49,4.40,3.88,1.76,55.35
1938,1.90,2.24,1.38,0.68,5.34,9.63,5.11,5.95,4.62,9.19,0.74,0.53,47.31
1939,1.84,5.70,1.00,4.51,3.77,10.45,6.67,7.28,2.15,1.51,1.65,3.33,49.86
1940,2.65,4.17,2.89,6.91,3.34,5.77,5.86,5.47,2.70,0.09,0.32,8.72,48.89
1941,3.51,3.26,2.27,3.71,1.77,10.57,5.76,6.12,3.15,15.78,2.90,6.24,65.04
1942,4.09,4.54,7.25,0.52,0.54,9.31,2.79,5.08,5.88,2.21,0.39,4.70,47.30
1943,1.45,0.12,2.77,2.86,4.94,5.53,6.50,8.07,5.41,0.26,0.40,2.43,40.74
1944,4.02,1.59,8.57,6.44,1.80,3.73,9.32,7.16,2.66,10.00,0.31,1.13,56.73
1945,4.48,1.63,0.00,4.28,2.72,5.42,9.52,15.15,4.26,1.39,2.00,9.22,60.07
1946,1.95,2.74,2.87,1.70,7.00,11.58,10.25,5.67,4.13,4.57,1.28,0.19,53.93
1947,1.40,4.67,6.13,7.32,2.45,8.46,7.41,7.50,9.61,17.13,5.80,4.74,75.85
1948,6.19,1.83,8.51,2.06,2.99,3.31,10.14,9.82,3.35,5.96,1.20,3.10,58.46
1949,1.16,5.94,2.45,8.95,0.49,7.57,9.95,14.43,6.72,1.09,4.17,0.26,63.18
1950,0.11,0.54,4.75,2.16,0.92,2.80,12.63,1.45,11.99,6.35,0.24,2.79,46.73
1951,1.07,1.05,5.00,2.16,2.31,3.95,9.73,10.99,7.46,3.22,6.48,2.55,55.97
1952,1.04,7.32,2.33,3.20,4.44,3.31,3.85,3.99,4.66,4.73,0.88,2.39,42.14
1953,4.60,1.05,3.87,8.43,2.29,12.35,6.71,12.78,6.18,3.37,2.67,9.00,73.30
1954,1.12,1.64,2.58,3.05,3.54,3.81,3.75,5.02,4.79,2.70,1.44,1.80,35.24
1955,3.60,3.14,1.66,1.21,1.88,7.83,10.51,4.71,4.40,1.15,2.54,0.09,42.72
1956,3.14,4.19,0.84,2.78,4.51,9.67,7.24,6.81,3.05,5.57,0.16,0.02,47.98
1957,0.59,2.37,5.12,3.94,6.69,7.51,8.72,10.33,6.50,1.94,2.12,0.87,56.70
1958,4.10,3.80,7.15,5.68,5.54,4.91,7.62,8.98,1.56,3.91,3.36,3.25,59.86
1959,3.72,4.37,10.48,4.12,9.25,4.44,4.00,7.33,5.25,5.65,1.69,0.84,61.14
1960,2.51,3.76,7.48,2.73,1.37,12.80,9.40,7.63,6.38,6.12,0.12,2.64,62.94
1961,2.50,6.15,1.27,3.54,1.07,4.14,9.10,12.83,3.15,0.77,2.35,0.88,47.75
1962,1.66,1.87,2.30,1.79,2.19,8.35,7.04,8.62,6.00,3.28,1.92,1.69,46.71
1963,2.21,4.52,2.56,1.30,3.51,3.57,6.83,3.21,3.14,0.26,3.25,2.91,37.27
1964,8.87,6.61,1.87,4.23,1.61,4.86,10.59,14.15,13.04,2.15,2.40,6.57,76.95
1965,2.51,5.80,4.82,1.78,2.21,15.74,10.86,7.62,5.16,1.54,1.55,4.41,64.00
1966,3.58,6.18,1.93,1.85,8.92,7.26,4.46,5.11,12.25,1.44,0.59,1.13,54.70
1967,3.55,5.52,1.33,0.39,4.35,9.31,10.16,7.74,3.03,0.29,0.99,5.88,52.54
1968,0.67,2.36,2.23,0.18,3.15,5.95,9.45,12.27,5.21,4.25,3.09,1.02,49.83
1969,1.51,4.59,5.42,0.91,2.97,2.77,6.55,8.48,9.64,1.27,3.70,5.74,53.55
1970,4.32,7.92,7.55,2.98,6.93,6.53,7.36,10.80,1.87,1.97,0.15,2.15,60.53
1971,3.00,3.85,2.08,2.99,3.75,3.59,5.47,12.73,3.10,4.46,2.22,3.10,50.34
1972,4.98,3.31,7.51,2.89,9.19,10.22,3.16,12.99,1.12,0.99,7.27,4.15,67.78
1973,4.16,4.33,6.14,5.74,3.97,6.72,6.29,2.93,3.84,0.51,0.84,5.13,50.60
1974,0.25,2.58,2.39,1.17,5.68,10.05,7.95,7.20,7.27,0.91,1.03,4.03,50.51
1975,3.11,4.25,0.99,2.21,5.01,4.87,6.45,4.41,12.55,3.01,1.05,3.69,51.60
1976,1.20,1.49,1.46,3.19,6.65,11.37,4.59,2.84,5.36,2.21,2.78,4.97,48.11
1977,3.35,4.16,1.22,0.83,0.46,2.26,1.44,7.10,5.72,0.13,1.95,4.94,33.56
1978,6.20,4.98,4.52,0.64,3.45,3.90,10.36,9.64,0.25,0.47,0.00,4.79,49.20
1979,8.69,2.34,1.17,8.18,3.36,4.55,4.39,7.39,12.23,0.11,1.32,6.09,59.82
1980,6.20,1.88,2.97,4.18,5.08,2.29,8.66,3.18,3.71,1.70,1.43,0.28,41.56
1981,1.20,6.21,3.54,0.40,0.83,6.79,2.91,4.98,1.10,0.81,4.20,2.28,35.25
1982,5.41,5.00,5.42,8.73,3.11,8.74,6.76,6.18,7.10,1.56,1.65,1.47,61.13
1983,2.89,5.29,7.19,7.26,4.20,10.04,4.18,1.64,10.95,1.36,4.44,5.91,65.35
1984,1.19,4.76,3.24,3.26,6.92,2.88,6.15,3.36,2.40,1.79,2.86,0.44,39.25
1985,1.20,1.97,1.37,4.70,3.43,6.46,5.39,13.43,3.29,4.34,3.30,0.95,49.83
1986,6.27,5.35,3.55,0.63,0.98,5.65,6.74,8.54,3.10,3.89,3.96,3.65,52.31
1987,4.53,5.42,10.28,0.45,4.27,2.95,3.90,5.40,3.67,0.27,4.31,1.18,46.63
1988,5.11,4.75,7.78,1.35,3.24,3.30,3.85,14.88,11.16,1.26,3.20,1.33,61.21
1989,1.14,1.19,2.17,2.93,1.91,9.66,4.44,6.08,4.66,1.02,2.14,3.13,40.47
1990,1.97,3.54,1.82,2.78,0.86,11.27,6.41,4.08,2.99,3.16,1.84,1.61,42.33
1991,6.66,0.32,8.78,6.02,6.24,6.58,7.25,4.02,2.40,1.41,0.31,0.98,50.97
1992,5.20,3.48,4.00,3.78,1.99,12.86,1.52,8.55,4.37,5.74,2.06,0.73,54.28
1993,3.26,4.77,4.61,0.91,1.41,6.07,3.41,5.65,2.00,7.98,1.35,2.23,43.65
